iter	Passed	Remaining
426	2162	2901
427	2169	2899
428	2173	2892
429	2175	2884
430	2178	2875
431	2185	2873
432	2187	2864
433	2189	2855
434	2191	2847
435	2197	2843
436	2201	2836
437	2204	2828
438	2207	2820
439	2214	2818
440	2217	2810
441	2224	2807
442	2229	2803
443	2234	2798
444	2237	2790
445	2243	2787
446	2247	2780
447	2250	2772
448	2252	2764
449	2259	2762
450	2263	2755
451	2267	2749
452	2274	2746
453	2278	2739
454	2280	2731
455	2283	2723
456	2291	2722
457	2294	2715
458	2297	2707
459	2299	2699
460	2303	2693
461	2306	2685
462	2311	2680
463	2317	2676
464	2322	2672
465	2325	2664
466	2327	2656
467	2331	2650
468	2335	2644
469	2337	2636
470	2340	2628
471	2342	2620
472	2346	2614
473	2351	2609
474	2354	2601
475	2356	2594
476	2359	2587
477	2363	2580
478	2366	2573
479	2370	2568
480	2376	2564
481	2383	2561
482	2385	2553
483	2387	2545
484	2393	2541
485	2396	2534
486	2399	2527
487	2401	2519
488	2404	2512
489	2409	2508
490	2412	2500
491	2414	2493
492	2418	2487
493	2423	2482
494	2426	2475
495	2428	2468
496	2431	2460
497	2436	2456
498	2439	2449
499	2442	2442
500	2450	2440
501	2452	2433
502	2457	2428
503	2464	2425
504	2468	2419
505	2470	2412
506	2473	2405
507	2479	2401
508	2482	2394
509	2484	2386
510	2486	2379
511	2492	2375
512	2497	2370
513	2499	2363
514	2502	2356
515	2509	2353
516	2512	2347
517	2514	2339
518	2517	2332
519	2522	2328
520	2526	2322
521	2528	2315
522	2531	2308
523	2538	2306
524	2541	2299
525	2546	2294
526	2551	2289
527	2558	2287
528	2561	2280
529	2564	2273
530	2568	2268
531	2571	2262
532	2573	2255
533	2576	2248
534	2581	2243
535	2586	2239
536	2589	2232
537	2591	2225
538	2599	2222
539	2601	2216
540	2607	2212
541	2614	2209
542	2623	2207
543	2633	2207
544	2636	2200
545	2638	2194
546	2646	2191
547	2649	2185
548	2651	2178
549	2654	2171
550	2664	2171
551	2667	2164
552	2669	2157
553	2673	2152
554	2676	2146
555	2678	2139
556	2681	2132
557	2688	2129
558	2691	2123
559	2693	2116
560	2695	2109
561	2700	2104
562	2703	2098
563	2706	2092
564	2709	2086
565	2711	2079
566	2719	2076
567	2723	2071
568	2731	2068
569	2736	2064
570	2738	2057
571	2741	2051
572	2744	2045
573	2749	2040
574	2752	2034
575	2755	2028
576	2757	2021
577	2763	2017
578	2766	2011
579	2768	2004
580	2770	1998
581	2773	1991
582	2777	1986
583	2780	1980
